Country, Region, Timezone, Currencies
Suriname, LATAM, "['UTC-03:00']", "['SRD']"
Svalbard and Jan Mayen, EMEA, "['UTC+01:00']", "['NOK']"
Swaziland, EMEA, "['UTC+02:00']", "['SZL']"
Sweden, EMEA, "['UTC+01:00']", "['SEK']"
Switzerland, EMEA, "['UTC+01:00']", "['CHE', 'CHF', 'CHW']"
Syria, EMEA, "['UTC+02:00']", "['SYP']"
Taiwan, APJ, "['UTC+08:00']", "['TWD']"
Tajikistan, APJ, "['UTC+05:00']", "['TJS']"
Tanzania, EMEA, "['UTC+03:00']", "['TZS']"
Thailand, APJ, "['UTC+07:00']", "['THB']"
East Timor, APJ, "['UTC+09:00']", "['USD']"
Togo, EMEA, "['UTC']", "['XOF']"
Tokelau, APJ, "['UTC+13:00']", "['NZD']"
Tonga, APJ, "['UTC+13:00']", "['TOP']"
Trinidad and Tobago, LATAM, "['UTC-04:00']", "['TTD']"
Tunisia, EMEA, "['UTC+01:00']", "['TND']"
Turkey, EMEA, "['UTC+02:00']", "['TRY']"
Turkmenistan, APJ, "['UTC+05:00']", "['TMT']"
Turks and Caicos Islands, LATAM, "['UTC-04:00']", "['USD']"
Tuvalu, APJ, "['UTC+12:00']", "['AUD']"
Uganda, EMEA, "['UTC+03:00']", "['UGX']"
Ukraine, EMEA, "['UTC+02:00']", "['UAH']"
United Arab Emirates, EMEA, "['UTC+04']", "['AED']"
United Kingdom, EMEA, "['UTC-08:00', 'UTC-05:00', 'UTC-04:00', 'UTC-03:00', 'UTC-02:00', 'UTC', 'UTC+01:00', 'UTC+02:00', 'UTC+06:00']", "['GBP']"
United States, AMS, "['UTC-12:00', 'UTC-11:00', 'UTC-10:00', 'UTC-09:00', 'UTC-08:00', 'UTC-07:00', 'UTC-06:00', 'UTC-05:00', 'UTC-04:00', 'UTC+10:00', 'UTC+12:00']", "['USD', 'USN', 'USS']"
Uruguay, LATAM, "['UTC-03:00']", "['UYI', 'UYU']"
Uzbekistan, APJ, "['UTC+05:00']", "['UZS']"
Vanuatu, APJ, "['UTC+11:00']", "['VUV']"
Venezuela, LATAM, "['UTC-04:30']", "['VEF']"
Vietnam, APJ, "['UTC+07:00']", "['VND']"
Wallis and Futuna, APJ, "['UTC+12:00']", "['XPF']"
Western Sahara, EMEA, "['UTC+00:00']", "['MAD', 'DZD', 'MRO']"
Yemen, EMEA, "['UTC+03:00']", "['YER']"
Zambia, EMEA, "['UTC+02:00']", "['ZMK']"
Zimbabwe, EMEA, "['UTC+02:00']", "['USD']"
